,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
0,2016-04-20,6.5,1162068.0,1022752.0,37010.0,37740.0,36950.0,37360.0,0.974464,-130.0,-110.0,55.0,65.0,13.5,11.5,37380.0,37320.0,4938.5,146200.0,125825.0,325139.0,331689.0,154697.0,37400.0,-200.0,-100.0,699272.0,7.4935,7.5075,-150.0,-100.0,-125.0,0.0
1,2016-04-21,6.5,1162068.0,1022752.0,37520.0,38220.0,37350.0,38100.0,0.911059,-140.0,-120.0,55.0,65.0,17.25,11.25,37810.0,37680.0,5025.5,146275.0,123850.0,326057.0,331689.0,152367.0,37750.0,-200.0,-100.0,705640.0,7.6056,7.6316,-160.0,-120.0,-140.0,0.0
2,2016-04-22,6.52,1162068.0,1022752.0,38400.0,38570.0,37460.0,37970.0,0.905997,-120.0,-100.0,55.0,65.0,12.25,13.5,37960.0,37820.0,5015.5,147800.0,122875.0,329817.0,331689.0,150895.0,37950.0,-200.0,-100.0,660010.0,7.5321,7.5499,-170.0,-120.0,-145.0,1.0
6,2016-04-27,6.53,1162068.0,1022752.0,37710.0,37950.0,37510.0,37630.0,0.831866,-130.0,-110.0,55.0,65.0,10.5,3.5,37720.0,37590.0,4932.0,152200.0,121775.0,329352.0,311894.0,150322.0,37720.0,-200.0,-100.0,651754.0,7.65,7.6663,-180.0,-100.0,-140.0,1.0
7,2016-04-28,6.53,1162068.0,1022752.0,37600.0,37720.0,37010.0,37280.0,0.945685,-100.0,-80.0,55.0,65.0,14.25,6.5,37300.0,37160.0,4912.5,150725.0,118725.0,327669.0,311894.0,150449.0,37280.0,-180.0,-80.0,687708.0,7.5202,7.5405,-150.0,-100.0,-125.0,0.0
8,2016-04-29,6.53,1162068.0,1022752.0,37290.0,37800.0,37180.0,37660.0,0.870756,-90.0,-70.0,55.0,65.0,14.0,11.0,37560.0,37430.0,5045.0,149500.0,115225.0,327871.0,311894.0,149998.0,37520.0,-150.0,-70.0,682332.0,7.4502,7.4641,-140.0,-100.0,-120.0,0.0
10,2016-05-03,6.51,1035377.0,1063494.0,37780.0,37970.0,37420.0,37910.0,0.957391,-100.0,-80.0,55.0,65.0,8.25,4.0,37690.0,37470.0,4960.0,154675.0,118325.0,325400.0,313168.0,151634.0,37680.0,-100.0,-60.0,691858.0,7.6812,7.7178,-140.0,-80.0,-110.0,1.0
11,2016-05-04,6.51,1035377.0,1063494.0,37680.0,37780.0,37140.0,37230.0,0.948613,-40.0,-20.0,55.0,65.0,12.5,4.5,37390.0,37140.0,4892.0,156500.0,120925.0,330534.0,313168.0,152311.0,37350.0,-80.0,20.0,716772.0,7.6181,7.6448,-100.0,-20.0,-60.0,1.0
12,2016-05-05,6.54,1035377.0,1063494.0,37220.0,37340.0,36820.0,36840.0,0.885884,40.0,60.0,55.0,65.0,17.25,10.25,37070.0,36880.0,4826.0,156725.0,114125.0,330752.0,313168.0,153734.0,37060.0,-40.0,40.0,732674.0,7.6831,7.6999,-10.0,20.0,5.0,1.0
15,2016-05-09,6.54,1035377.0,1063494.0,36540.0,36970.0,35780.0,35840.0,0.769026,40.0,60.0,55.0,65.0,12.5,5.5,36270.0,36030.0,4739.5,159600.0,117325.0,335608.0,286210.0,153178.0,36270.0,-40.0,40.0,767272.0,7.6288,7.6459,-30.0,10.0,-10.0,1.0
