,target,date,USE00020,price_open,price_high,price_low,price_close,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00145_low,USE00145_high,USE00145_mean,PE100058,MA000001,d111,d112,d211,d221,d222,d511,d512,D521,D522,d611,d612,d711,MA5,MA6,MA10,MA15,QA,day,S0049493_2,S0049493_3,S0049493_4,S0029752_2,S0029752_3,S0029752_4
14,-1.0,2015-02-27,6.84,42810.0,42930.0,42450.0,42730.0,-160.0,-110.0,90.0,100.0,29.0,28.5,42580.0,42840.0,5880.5,296375.0,266525.0,326484.0,205146.0,55689.0,42690.0,-190.0,-100.0,774578.0,-200.0,-100.0,-150.0,1147580.0,806325.0,260.0,-135.0,0.449641501476,0.135730162908,205146.0,8162100.0,13.769886124,1936445.0,9.43935051134,50.0,90.0,341255.0,42362.0,42321.6666667,41872.0,41573.3333333,3,27,111378.0,164546.0,217714.0,591400.0,886450.0,1181925.0
15,0.0,2015-03-02,6.84,42600.0,43280.0,42370.0,43200.0,-170.0,-120.0,90.0,100.0,20.0,26.0,42750.0,43070.0,5896.0,297200.0,267550.0,328046.0,205146.0,56862.0,42830.0,-200.0,-120.0,760442.0,-220.0,-120.0,-170.0,1147580.0,707967.0,320.0,-145.0,0.450117765814,0.138589102395,205146.0,8201150.0,13.797358681,1901105.0,9.26708295555,50.0,80.0,439613.0,42558.0,42501.6666667,42066.0,41767.3333333,1,2,112551.0,168240.0,221408.0,593575.0,888600.0,1183650.0
16,0.0,2015-03-03,6.84,42890.0,43220.0,42430.0,42540.0,-180.0,-140.0,90.0,100.0,19.75,22.0,42670.0,42780.0,5855.0,297400.0,267600.0,329181.0,205146.0,60072.0,42800.0,-230.0,-120.0,762324.0,-230.0,-130.0,-180.0,1147580.0,707967.0,110.0,-160.0,0.449899125757,0.14641279869,205146.0,8229525.0,13.8357851379,1905810.0,9.29001784095,40.0,110.0,439613.0,42626.0,42555.0,42188.0,41886.0,1,3,116934.0,172623.0,228312.0,594600.0,890975.0,1186000.0
17,-1.0,2015-03-04,6.84,42480.0,42560.0,42120.0,42460.0,-100.0,-70.0,90.0,100.0,21.5,35.0,42300.0,42610.0,5882.0,308125.0,266725.0,331671.0,205146.0,61769.0,42400.0,-150.0,-80.0,767808.0,-160.0,-100.0,-130.0,1147580.0,707967.0,310.0,-85.0,0.432819472617,0.150548877385,205146.0,8291775.0,13.4552129817,1919520.0,9.35684829341,30.0,70.0,439613.0,42688.0,42598.3333333,42324.0,41972.6666667,1,4,121841.0,178703.0,234392.0,605525.0,902725.0,1199100.0
18,0.0,2015-03-05,6.84,42580.0,42620.0,42140.0,42500.0,-60.0,-30.0,90.0,100.0,22.0,23.0,42320.0,42560.0,5856.0,318375.0,275700.0,333312.0,205146.0,63398.0,42420.0,-120.0,0.0,771270.0,-120.0,-20.0,-70.0,1147580.0,707967.0,240.0,-45.0,0.432979976443,0.154519220458,205146.0,8332800.0,13.0864546525,1928175.0,9.39903775847,30.0,120.0,439613.0,42686.0,42656.6666667,42463.0,42072.6666667,1,5,125167.0,185239.0,242101.0,626500.0,923900.0,1221100.0
19,0.0,2015-03-06,6.84,42420.0,42720.0,42070.0,42200.0,-50.0,-10.0,90.0,100.0,20.5,24.5,42270.0,42410.0,5826.5,323050.0,275125.0,335968.0,224340.0,66869.0,42390.0,-100.0,-20.0,775448.0,-90.0,-20.0,-55.0,1147580.0,707967.0,140.0,-30.0,0.425824175824,0.149034946956,224340.0,8399200.0,12.9998452252,1938620.0,8.6414371044,40.0,80.0,439613.0,42580.0,42605.0,42471.0,42108.0,1,6,130267.0,192036.0,252108.0,641425.0,949550.0,1246950.0
20,-1.0,2015-03-09,6.84,42250.0,42350.0,41670.0,42300.0,-30.0,10.0,90.0,100.0,22.0,31.0,41880.0,42050.0,5800.0,326050.0,275450.0,338244.0,224340.0,67446.0,42000.0,-60.0,0.0,759610.0,-80.0,-20.0,-50.0,1147580.0,707967.0,170.0,-10.0,0.422404539181,0.150320941428,224340.0,8456100.0,12.9674896488,1899025.0,8.46494160649,40.0,60.0,439613.0,42400.0,42533.3333333,42479.0,42177.3333333,1,9,134315.0,197713.0,259482.0,649100.0,967475.0,1275600.0
21,0.0,2015-03-10,6.84,42320.0,42760.0,42210.0,42230.0,-50.0,-20.0,90.0,100.0,23.5,30.0,42360.0,42520.0,5783.5,328450.0,278950.0,336572.0,224340.0,69094.0,42510.0,-100.0,-30.0,772044.0,-110.0,-50.0,-80.0,1147580.0,707967.0,160.0,-35.0,0.42464606485,0.153993937773,224340.0,8414300.0,12.8091033643,1930110.0,8.60350361059,30.0,70.0,439613.0,42338.0,42371.6666667,42482.0,42238.0,1,10,136540.0,203409.0,266807.0,654500.0,977550.0,1295925.0
22,0.0,2015-03-11,6.84,42060.0,42320.0,41910.0,42080.0,-60.0,-20.0,90.0,100.0,24.5,29.5,41990.0,42210.0,5786.0,330425.0,281475.0,339387.0,224340.0,71258.0,42100.0,-100.0,-40.0,766898.0,-120.0,-50.0,-85.0,1147580.0,707967.0,220.0,-40.0,0.425928728153,0.158816974236,224340.0,8484675.0,12.8390330635,1917245.0,8.5461576179,40.0,60.0,439613.0,42262.0,42295.0,42475.0,42303.3333333,1,11,140352.0,207798.0,274667.0,658875.0,984925.0,1307975.0
23,-1.0,2015-03-12,6.84,42040.0,42610.0,41800.0,42560.0,-50.0,-20.0,90.0,100.0,23.0,26.5,42030.0,42090.0,5865.5,330750.0,283275.0,346385.0,224340.0,74609.0,42090.0,-100.0,-20.0,755130.0,-90.0,-20.0,-55.0,1147580.0,707967.0,60.0,-35.0,0.428231292517,0.166285548721,224340.0,8659625.0,13.0908919123,1887825.0,8.41501738433,30.0,80.0,439613.0,42274.0,42311.6666667,42480.0,42400.0,1,12,145867.0,214961.0,282407.0,661175.0,989625.0,1315675.0
24,0.0,2015-03-13,6.84,42710.0,43000.0,42400.0,42840.0,-20.0,10.0,90.0,100.0,23.5,30.0,42710.0,42640.0,5860.0,333575.0,276775.0,344226.0,241616.0,79396.0,42690.0,-50.0,20.0,743896.0,-50.0,50.0,0.0,1147580.0,707967.0,70.0,-5.0,0.414861725249,0.164302032978,241616.0,8605650.0,12.8991231357,1859740.0,7.69708959672,30.0,70.0,439613.0,42402.0,42368.3333333,42491.0,42448.0,1,13,154005.0,225263.0,294357.0,664325.0,994750.0,1323200.0
25,-1.0,2015-03-16,6.84,42700.0,42850.0,42440.0,42810.0,-100.0,-70.0,85.0,95.0,16.75,30.75,42640.0,42460.0,5853.0,337575.0,282300.0,346911.0,241616.0,86381.0,42620.0,0.0,70.0,747460.0,0.0,50.0,25.0,1147580.0,707967.0,180.0,-85.0,0.418129304599,0.17875678763,241616.0,8672775.0,12.8457009553,1868650.0,7.73396629362,30.0,70.0,439613.0,42504.0,42470.0,42452.0,42487.3333333,1,16,165777.0,240386.0,311644.0,671150.0,1001900.0,1332325.0
26,0.0,2015-03-17,6.84,42600.0,42960.0,42260.0,42430.0,-80.0,-40.0,83.0,93.0,20.0,38.0,42680.0,42540.0,5765.0,342200.0,290125.0,340828.0,241616.0,87145.0,42650.0,-130.0,-60.0,742020.0,-140.0,-60.0,-100.0,1147580.0,707967.0,140.0,-60.0,0.423911455289,0.180337808754,241616.0,8520700.0,12.4498831093,1855050.0,7.67767863055,40.0,70.0,439613.0,42544.0,42491.6666667,42441.0,42502.6666667,1,17,173526.0,252922.0,327531.0,679775.0,1013350.0,1344100.0
