,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00020,PE100058,price_open,price_close,MA5,MA10,MA15,d111,d112,d211,d221,d222,d511,d512,QA,PE100042
14,-200.0,-60.0,40.0,50.0,-1.0,-8.5,56900.0,56860.0,239600.0,199400.0,242500.0,192761.0,71251.0,56900.0,-150.0,-60.0,434354.0,6.85,750495.0,56740.0,57110.0,56742.0,57204.0,57764.6666667,40.0,-130.0,0.416110183639,0.184816949487,192761.0,6062500.0,12.651293823,3,1.27756
15,-100.0,-20.0,37.0,47.0,-3.25,-8.0,56810.0,56750.0,242975.0,204275.0,239355.0,197937.0,71252.0,56810.0,-120.0,-20.0,421280.0,6.85,750495.0,57100.0,56620.0,56730.0,57020.0,57607.3333333,60.0,-60.0,0.420362177179,0.179986561381,197937.0,5983875.0,12.3137668484,3,1.27756
16,-50.0,50.0,45.0,50.0,-7.25,-4.0,56000.0,55960.0,247400.0,211650.0,239377.0,197937.0,71800.0,56000.0,-50.0,70.0,447104.0,6.85,750495.0,55800.0,56060.0,56626.0,56837.0,57412.6666667,40.0,0.0,0.427748585287,0.181370840217,197937.0,5984425.0,12.0946341956,3,1.27756
17,-40.0,80.0,50.0,60.0,-5.75,-2.5,56360.0,56270.0,245575.0,211250.0,237626.0,197937.0,72050.0,56360.0,-50.0,80.0,449328.0,6.85,750495.0,56200.0,56600.0,56650.0,56769.0,57282.6666667,90.0,20.0,0.430113000102,0.182002354284,197937.0,5940650.0,12.0953883742,3,1.27756
18,0.0,100.0,50.0,60.0,-1.25,-1.5,55670.0,55630.0,244850.0,204050.0,237636.0,197937.0,71851.0,55670.0,0.0,100.0,459838.0,6.85,750495.0,55640.0,55700.0,56418.0,56589.0,57076.6666667,40.0,50.0,0.416683683888,0.181499669087,197937.0,5940900.0,12.1317132939,3,1.27756
19,-50.0,90.0,50.0,60.0,-2.0,-7.0,56020.0,55980.0,246275.0,206025.0,238921.0,204995.0,71349.0,56020.0,-50.0,50.0,460728.0,6.85,750495.0,55860.0,55930.0,56182.0,56462.0,56863.3333333,40.0,20.0,0.418282407877,0.174026195761,204995.0,5973025.0,12.1267384022,3,1.27756
20,-50.0,70.0,50.0,60.0,-3.0,-7.5,55570.0,55460.0,245500.0,205950.0,239788.0,204995.0,71049.0,55570.0,0.0,100.0,473540.0,6.85,750495.0,55830.0,55670.0,55992.0,56361.0,56677.3333333,110.0,10.0,0.419450101833,0.173294470597,204995.0,5994700.0,12.2091649695,3,1.27756
21,10.0,110.0,50.0,60.0,-6.0,-3.0,55620.0,55460.0,254350.0,215150.0,243148.0,204995.0,69249.0,55620.0,50.0,140.0,481938.0,6.85,750495.0,55680.0,55460.0,55872.0,56249.0,56515.3333333,160.0,60.0,0.422940829566,0.168904119613,204995.0,6078700.0,11.9494790643,3,1.27756
22,50.0,170.0,50.0,60.0,-8.75,-3.0,55890.0,55650.0,254175.0,215800.0,245949.0,204995.0,71788.0,55890.0,50.0,150.0,467844.0,6.85,750495.0,55910.0,55910.0,55734.0,56192.0,56424.0,240.0,110.0,0.424510671781,0.175096953584,204995.0,6148725.0,12.0954558867,3,1.27756
23,90.0,170.0,45.0,55.0,-9.0,-8.0,55820.0,55610.0,253475.0,215725.0,248264.0,204995.0,70521.0,55820.0,50.0,170.0,476910.0,6.85,750495.0,55550.0,55840.0,55762.0,56090.0,56313.3333333,210.0,130.0,0.425535062629,0.172006634308,204995.0,6206600.0,12.2430219943,3,1.27756
24,-30.0,70.0,45.0,55.0,-9.25,-12.5,55880.0,55800.0,255175.0,218000.0,250271.0,203544.0,78508.0,55850.0,-50.0,60.0,459736.0,6.85,750495.0,55900.0,55740.0,55724.0,55953.0,56216.0,80.0,20.0,0.42715783286,0.192852651024,203544.0,6256775.0,12.259772705,3,1.27756
25,-70.0,30.0,50.0,60.0,-13.0,-10.5,56420.0,56310.0,253700.0,211525.0,246143.0,203544.0,74085.0,56410.0,-70.0,50.0,424662.0,6.85,750495.0,56580.0,56340.0,55858.0,55925.0,56193.3333333,110.0,-20.0,0.416880173433,0.18198767834,203544.0,6153575.0,12.1276606228,3,1.27756
26,-30.0,50.0,50.0,60.0,-16.0,-15.5,56060.0,56000.0,253875.0,212625.0,242214.0,203544.0,68792.0,56070.0,-50.0,70.0,440676.0,6.85,750495.0,56440.0,55900.0,55946.0,55909.0,56148.0,60.0,10.0,0.418759231905,0.1689855756,203544.0,6055350.0,11.9258493353,3,1.27756
27,-50.0,50.0,45.0,55.0,-16.75,-16.0,56040.0,55990.0,251100.0,212575.0,246566.0,203544.0,66817.0,56060.0,-50.0,70.0,440348.0,6.85,750495.0,56100.0,56040.0,55972.0,55853.0,56118.6666667,50.0,0.0,0.423287534847,0.164134044727,203544.0,6164150.0,12.2742931103,3,1.27756
28,-30.0,50.0,45.0,55.0,-15.5,-19.0,55790.0,55710.0,249825.0,212725.0,246628.0,205933.0,63788.0,55810.0,-50.0,60.0,458328.0,6.85,750495.0,56020.0,56090.0,56022.0,55892.0,56067.3333333,80.0,10.0,0.425748023617,0.154875614884,205933.0,6165700.0,12.3400380266,3,1.27756
29,-50.0,30.0,45.0,55.0,-16.5,-21.0,56170.0,56090.0,249825.0,213375.0,248553.0,205933.0,61640.0,56170.0,-80.0,30.0,444852.0,6.85,750495.0,56190.0,56250.0,56124.0,55924.0,56010.0,80.0,-10.0,0.427048934254,0.149660326417,205933.0,6213825.0,12.4363554488,3,1.27756
30,-100.0,-40.0,42.0,52.0,-17.75,-22.5,56320.0,56260.0,249550.0,212725.0,249240.0,205933.0,61390.0,56320.0,-100.0,-20.0,444886.0,6.85,750495.0,56410.0,56220.0,56100.0,55979.0,55983.3333333,60.0,-70.0,0.426217190944,0.14905333288,205933.0,6231000.0,12.4844720497,3,1.27756
31,-180.0,-80.0,42.0,52.0,-20.25,-26.0,56260.0,56200.0,249975.0,214650.0,247400.0,205933.0,60940.0,56260.0,-160.0,-60.0,438716.0,6.85,750495.0,56200.0,56180.0,56156.0,56051.0,55991.3333333,60.0,-130.0,0.429342934293,0.147960744514,205933.0,6185000.0,12.3712371237,3,1.27756
32,-130.0,-70.0,42.0,52.0,-14.25,-24.75,56320.0,56220.0,249125.0,214400.0,249432.0,205933.0,59964.0,56320.0,-150.0,-80.0,431302.0,6.85,750495.0,56310.0,56390.0,56226.0,56099.0,55977.3333333,100.0,-100.0,0.430306071249,0.145591041747,205933.0,6235800.0,12.5154039137,3,1.27756
33,-200.0,-150.0,42.0,52.0,-16.25,-30.0,56970.0,56750.0,248150.0,213600.0,251657.0,197088.0,59467.0,56970.0,300.0,500.0,427634.0,6.85,782566.0,56860.0,57300.0,56468.0,56245.0,56084.0,220.0,-175.0,0.430384847874,0.15086408102,197088.0,6291425.0,12.6766572638,3,1.27756
34,-270.0,-170.0,42.0,52.0,-17.75,-36.0,57560.0,57310.0,251050.0,218000.0,250937.0,197088.0,59117.0,57560.0,-280.0,-130.0,430990.0,6.85,782566.0,57490.0,57550.0,56728.0,56426.0,56192.0,250.0,-220.0,0.434176458873,0.149976152785,197088.0,6273425.0,12.4943736308,1,1.27756
35,-140.0,-90.0,45.0,55.0,-21.0,-40.0,57340.0,57110.0,249375.0,217850.0,255282.0,197088.0,59167.0,57340.0,-150.0,-80.0,431052.0,6.85,782566.0,57530.0,57280.0,56940.0,56520.0,56299.3333333,230.0,-115.0,0.43679197995,0.150102999675,197088.0,6382050.0,12.7960902256,1,1.27756
36,-150.0,-100.0,45.0,55.0,-21.0,-38.5,57640.0,57330.0,249025.0,217850.0,256942.0,197088.0,60017.0,57640.0,-180.0,-80.0,430540.0,6.85,782566.0,57570.0,57760.0,57256.0,56706.0,56452.6666667,310.0,-125.0,0.437405882943,0.152259396818,197088.0,6423550.0,12.8973998595,1,1.27756
37,-130.0,-80.0,45.0,55.0,-21.25,-37.25,57590.0,57280.0,253575.0,223000.0,261589.0,197088.0,57543.0,57590.0,-180.0,-60.0,432760.0,6.85,782566.0,57700.0,57400.0,57458.0,56842.0,56552.0,310.0,-105.0,0.439712116731,0.145983012664,197088.0,6539725.0,12.8950507739,1,1.27756
38,-90.0,-10.0,45.0,55.0,-22.75,-41.0,57350.0,57030.0,255200.0,225250.0,266502.0,197979.0,57293.0,57350.0,-100.0,20.0,427140.0,6.85,782566.0,57300.0,57450.0,57488.0,56978.0,56659.3333333,320.0,-50.0,0.441320532915,0.14469463933,197979.0,6662550.0,13.0535854232,1,1.27756
39,-50.0,0.0,48.0,58.0,-26.5,-40.0,57850.0,57420.0,259050.0,229700.0,271637.0,197979.0,56367.0,57850.0,-80.0,0.0,427748.0,6.85,782566.0,57730.0,57980.0,57574.0,57151.0,56808.6666667,430.0,-25.0,0.443350704497,0.142356007455,197979.0,6790925.0,13.1073634434,1,1.27756
40,0.0,50.0,48.0,58.0,-25.5,-42.0,57910.0,57470.0,261725.0,233000.0,271052.0,197979.0,56318.0,57910.0,-50.0,60.0,432962.0,6.85,782566.0,57950.0,57900.0,57698.0,57319.0,56912.6666667,440.0,25.0,0.445123698539,0.142232256957,197979.0,6776300.0,12.9454580189,1,1.27756
41,0.0,80.0,48.0,58.0,-24.75,-43.75,57890.0,57400.0,269200.0,241075.0,271981.0,197979.0,56568.0,57890.0,-20.0,80.0,430296.0,6.85,782566.0,57960.0,57980.0,57742.0,57499.0,57051.3333333,490.0,40.0,0.447761887073,0.142863637052,197979.0,6799525.0,12.6291326152,1,1.27756
42,20.0,80.0,45.0,55.0,-22.0,-44.0,57660.0,57140.0,269875.0,231650.0,270639.0,197979.0,57769.0,57660.0,0.0,90.0,438004.0,6.85,782566.0,57930.0,57610.0,57784.0,57621.0,57156.0,520.0,50.0,0.429180176007,0.145896787033,197979.0,6765975.0,12.5353867531,1,1.27756
43,20.0,120.0,50.0,60.0,-24.25,-41.75,57910.0,57350.0,298625.0,254200.0,260248.0,205385.0,57530.0,57910.0,20.0,120.0,437166.0,6.85,782566.0,57700.0,58130.0,57920.0,57704.0,57292.0,560.0,70.0,0.425617413144,0.140054044843,205385.0,6506200.0,10.8935956467,1,1.27756
44,-240.0,-100.0,50.0,60.0,-28.75,-43.0,58020.0,57700.0,300500.0,253975.0,254712.0,205385.0,63411.0,57970.0,-200.0,-90.0,423674.0,6.85,782566.0,58000.0,57880.0,57900.0,57737.0,57400.6666667,320.0,-170.0,0.422587354409,0.15437105923,205385.0,6367800.0,10.5953410982,1,1.27756
45,-250.0,-150.0,50.0,60.0,-28.5,-44.0,57720.0,57400.0,304900.0,254275.0,252711.0,205385.0,63335.0,57660.0,-300.0,-150.0,422792.0,6.85,782566.0,57890.0,57650.0,57850.0,57774.0,57496.0,320.0,-200.0,0.41698097737,0.15418604085,205385.0,6317775.0,10.3604050508,1,1.27756
46,-270.0,-210.0,50.0,60.0,-27.0,-45.5,56990.0,56750.0,311925.0,258625.0,245159.0,205385.0,62109.0,56960.0,-350.0,-200.0,413534.0,6.85,782566.0,57200.0,56870.0,57628.0,57685.0,57542.0,240.0,-240.0,0.414562795544,0.151201402245,205385.0,6128975.0,9.82443696401,1,1.27756
47,-370.0,-270.0,50.0,60.0,-23.5,-44.5,56700.0,56480.0,312400.0,259175.0,243783.0,204997.0,61084.0,56650.0,-400.0,-250.0,409632.0,6.85,782566.0,56350.0,56740.0,57454.0,57619.0,57565.3333333,220.0,-320.0,0.414812740077,0.148987546159,204997.0,6094575.0,9.75444142125,1,1.27756
48,-350.0,-250.0,50.0,60.0,-22.5,-49.5,56960.0,56750.0,317350.0,265750.0,239867.0,204997.0,60186.0,56930.0,-350.0,-200.0,417266.0,6.85,782566.0,56720.0,56850.0,57198.0,57559.0,57535.3333333,210.0,-300.0,0.418701748858,0.146797270204,204997.0,5996675.0,9.4480463211,1,1.27756
